world,rep,contrast,shifted,primary_call,rule_diverging,rule_equivalent
invariant_lam_low,5,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,5,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,5,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,5,taxspend:EAST-WEST,False,equivalent,False,False
invariant_lam_low,5,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,5,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,5,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,5,environment:EAST-WEST,False,equivalent,False,True
invariant_lam_low,5,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,6,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,6,immigration:RR-CD,False,equivalent,False,False
invariant_lam_low,6,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,6,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,6,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,6,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,6,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,6,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,6,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,6,environment:EAST-WEST,False,equivalent,False,True
invariant_lam_low,6,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,7,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,7,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,7,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,7,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,7,social:RR-LIB,False,equivalent,False,False
invariant_lam_low,7,taxspend:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,7,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,7,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,7,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,7,environment:EAST-WEST,False,equivalent,False,True
invariant_lam_low,7,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,8,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,8,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,8,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,8,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,8,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,8,taxspend:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,8,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,8,immigration:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,8,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,8,environment:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,8,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,9,immigration:RR-CON,False,equivalent,False,False
invariant_lam_low,9,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,9,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,9,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,9,social:RR-LIB,False,non-equivalent,False,False
invariant_lam_low,9,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,9,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,9,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,9,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,9,environment:EAST-WEST,False,equivalent,False,True
invariant_lam_low,9,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,10,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,10,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,10,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,10,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,10,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,10,taxspend:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,10,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,10,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,10,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,10,environment:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,10,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,11,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,11,immigration:RR-CD,False,equivalent,False,False
invariant_lam_low,11,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,11,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,11,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,11,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,11,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,11,immigration:EAST-WEST,False,equivalent,False,True
