stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,area,model,paraphrase,invalid_rate,human_min,human_max,exceeds_human_range
delta_pp:2,-0.0559,1.8188,-2.784,3.1355,-3.1252,3.8345,-0.0357,0.996,3.0,inconclusive,economic,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-4.6316,4.0971,False
sens_diff:2,0.0203,0.0293,-0.0251,0.0696,-0.0317,0.0827,0.0006,0.432,0.05,inconclusive,economic,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.0465,0.0536,False
fpr_diff:2,-0.0155,0.0197,-0.0459,0.0171,-0.0498,0.023,-0.001,0.398,0.05,equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.0464,0.0323,False
delta_pp:1,-4.8966,2.1236,-8.1774,-1.3327,-8.6303,-0.7124,0.0338,0.0,3.0,non-equivalent,social,Qwen/Qwen2.5-7B-Instruct,a,0.0,-3.8927,2.9036,True
sens_diff:1,-0.0348,0.0426,-0.1021,0.0353,-0.1147,0.0479,0.0011,0.44,0.05,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,a,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0509,0.0211,-0.0844,-0.0155,-0.0883,-0.0105,0.0002,0.0,0.05,non-equivalent,social,Qwen/Qwen2.5-7B-Instruct,a,0.0,-0.0385,0.0202,True
delta_pp:2,0.6358,1.8068,-2.2889,3.5077,-2.728,3.9542,0.0158,0.526,3.0,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,a,0.0,-1.5173,1.7696,False
sens_diff:2,0.0893,0.0519,0.0081,0.1813,-0.0064,0.1919,-0.0029,0.0,0.05,inconclusive,social,Qwen/Qwen2.5-7B-Instruct,a,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0063,0.0179,-0.0357,0.0227,-0.0438,0.029,0.0006,0.742,0.05,equivalent,social,Qwen/Qwen2.5-7B-Instruct,a,0.0,-0.013,0.0192,False
delta_pp:1,-5.3289,2.7016,-9.5346,-0.4047,-10.6165,0.154,0.0119,0.0,3.0,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,a,0.0,-3.8927,2.9036,True
sens_diff:1,-0.0225,0.0289,-0.065,0.0304,-0.0744,0.0371,0.001,0.468,0.05,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,a,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0577,0.0289,-0.1029,-0.0032,-0.112,0.0008,-0.0,0.0,0.05,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,a,0.0,-0.0385,0.0202,True
delta_pp:2,-1.4569,2.0149,-4.8188,1.7734,-5.7013,2.4365,0.0907,0.104,3.0,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,a,0.0,-1.5173,1.7696,False
